Name,Telnet,Location,Software
"0XDECAFBAD BBS","bbs.decafbad.com:6523","Los Angeles, CA, USA","Synchronet"
"1 LUCKY NERD (SYNCHRONET)","lkynrd73.synchro.net:148","Streator, IL, USA","Synchronet"
"1 LUCKY NERD (TWGS)","lkynrd73.synchro.net:2002","Streator, IL, USA","TWGS"
"13TH FLOOR BBS","13th.hoyvision.com:6400","Oak Ridge, TN, USA","Image BBS"
"13TH LEADER BBS","13leader.net:8023","Vineland, Ontario, Canada","Mystic"
"20 FOR BEERS BBS","20forbeers.com:1337","Portland, OR, USA","Mystic"
"300 F-ING BAUD BBS","300baud.dynu.net:2525","Eloy, AZ, USA","RYBBS"
"32-BIT BBS","x-bit.org:23230","Forest Grove, OR, USA","Spitfire"
"3D REALMS","172.0.79.226","Santa Clara, CA, USA","Synchronet"
"4 WHEEL HAM BBS","bbs.4wheelham.com","Littleton, CO, USA","Synchronet"
"4D2 DOT ORG","bbs.4d2.org","Portland, OR, USA","Synchronet"
"64 VINTAGE BBS","64vintageremixbbs.dyndns.org:6400","Miami, FL, USA","Color 64"
"68K MAC CLUB","bbs.m68k.club","Machida, Tokyo, Japan","SubText"
"68K TIME MACHINE BBS","68ktm.ddns.net:1024","Adelaide, SA, Australia","Max BBS"
"8-BIT ARCHIVE","bbs.8-bitarchive.com:2223","Vancouver, BC, Canada","Synchronet"
"8-BIT BOYZ BBS","bbs.8bitboyz.com:6502","Rio Rancho, NM, USA","Mystic"
"8-BIT PLAYGROUND","8bit.hoyvision.com:6400","Antioch, TN, USA","CNet DS2"
"8BIT CLUB BBS","bbs.8bitclub.com:6502","Burgas, , Bulgaria","Synchronet"
"A-NET ONLINE (GAME SERVER)","game.a-net-online.lol:513",", GA, USA","Synchronet"
"A-NET ONLINE (LINUX SYNCHRONET)","x.a-net.online:2323","Woodstock, GA, USA","Synchronet"
"A-NET ONLINE (MYSTIC)","mystic-anet.online","Woodstock , GA, USA","Mystic"
"A-NET ONLINE (SPITFIRE)","sf.a-net.online:2323","Woodstock, GA, United States","Spitfire"
"A-NET ONLINE (SYNCHRONET)","a-net.online","Woodstock, GA, USA","Synchronet"
"A-NET ONLINE (TWGS)","game.a-net-online.lol:2002","Woodstock, GA, USA","TWGS"
"A1 BBS","a1bbs.ddns.net","San Jose, CA, USA","Synchronet"
"ABSINTHE BBS","absinthebbs.net:1940","Raleigh, NC, USA","C-Net"
"ABYSS BBS","bbs.abyssnode.net","Buffalo, NY, USA","YAWC"
"ACE OF SPADES BBS","chaotix.ddns.net:2323","New Philadelphia, OH, USA","Maximus"
"ACID UNDERWORLD","blackflag.acid.org:31337","Hudson, FL, USA","Mystic"
"ACS BBS","18.205.154.92","Ashburn, VA, USA","Worldgroup"
"ADEPT BBS TWGS","adeptbbs.com:2002","Louisville, KY, USA","TWGS"
"ADEPT ONLINE ENTERTAINMENT","adeptbbs.com","Louisville, KY, USA","Worldgroup"
"AERODROME","theaerodromebbs.com:6502","Ontario, CA, USA","Apple II"
"AFTERSHOCK BBS","peterjschroeder.nsupdate.info","New Port Richey, FL, USA","Synchronet"
"AGENCY BBS","agency.bbs.nz","Dunedin, , New Zealand","Mystic"
"AGON BBS","krion.io:1337","Rouen, , France","Lightweight BBS"
"AGSTER","bbs.aghy.net","Cedar Knolls, NJ, USA","Synchronet"
"AINCRAD BBS","67.205.168.255:2323","North Bergen, NJ, USA","WWIV"
"AIR & WAVE BBS","bbs.airandwave.net:2323","Rancho Cordova, CA, USA","Mystic"
"AL'S GEEK LAB BBS","bbs.alsgeeklab.com:2323","Wellington, , New Zealand","Mystic"
"ALCATRAZ BBS (MYSTIC)","alcatraz.xunil.co.nz","Invercargill, , New Zealand","Mystic"
"ALCATRAZ BBS (SYNCHRONET)","alcatraz.xunil.co.nz:2323","Invercargill, , New Zealand","Synchronet"
"ALCATRAZ PRISON BBS","alcatrazbbs.ddns.net:9000","Allentown, PA, USA","BBS Express Pro"
"ALCOHOLIDAY BBS (MYSTIC)","alcoholidaybbs.com","Columbia, SC, USA","Mystic"
"ALCOHOLIDAY BBS (RENEGADE)","alcoholidaybbs.com:95","Columbia, SC, USA","Renegade"
"ALE'S BBS","manalejandro.com","Frankfurt am Main, , Germany","Enigma 1/2"
"ALECO EXPERIENCE BBS","bbs.alecoexp.cz","Prague, , Czech Republic","EleBBS"
"ALIEN MINDBENDERS BBS","195.43.155.90","Athlone, , Ireland","Mystic"
"ALIENS' ALCOVE!","aliens.ph:2323","Taguig City, , Philippines","WWIV"
"ALLTSK","fido.alltsk.ru","Tomsk, , Russia","Custom"
"ALPHA CENTAURI BBS","acentauribbs.no-ip.org:2002","West Barnstable, MA, USA","WWIV"
"ALPHA COMPLEX","www.alphacomplex.us:2523","Berkeley, CA, USA","Talisman BBS"
"ALPHACHRON BBS","193.22.2.193","Groton, CT, USA","MBSE"
"ALPHANET","2.236.17.38:2888","Rome, , Italy","Synchronet"
"ALT119","bbs.alt119.net","Frankfurt am Main, , Germany","Synchronet"
"ALTAIR IV BBS","altairiv.ddns.net:2323","Lufkin, TX, USA","Mystic"
"ALTAIR MINI BBS","217.198.137.127","Ponte San Pietro, , Italy","Mystic"
"ALTAR OF WARES","altarofwaresbbs.hopto.org:6464","Philadelphia, PA, USA","C-Base"
"ALTERANT BBS","115.70.188.112:123","Melbourne, VIC, Australia","Synchronet"
"ALTERED ILLUSIONS BBS","63.245.150.8","Mesquite, TX, USA","Mystic"
"AMERICAN CONNECTION BBS","tacbbs.synchro.net","Oxford, MA, USA","Synchronet"
"AMIGA CBM BBS","amiganer.amms-bbs.de","Stadthagen, , Germany","Amiga CBM"
"AMIGA CITY","amigacity.xyz","Cedar Knolls, NJ, USA","Synchronet"
"AMIGA RETRO BRISBANE BBS","www.amigaretro.com","Brisbane, QLD, Australia","Mystic"
"AMIGA RETRO V4SA BBS","amibbs.amigaretro.com:6880","Canberra, ACT, Australia","AmiExpress"
"AMIGA UNDERGROUND (AMIEXPRESS)","amigaunderground.com:2300","Edgewood, NM, USA","AmiExpress"
"AMIS XE","amis86.ddns.net:9000","Southern , CA, USA","Atari"
"AMSTRAD BBS","amstrad.simulant.uk:464","York, , England","Synchronet"
"ANALOG WAFFLE","waffle.c4bmore.com:2001","Fort Lauderdale, FL, USA","Waffle BBS"
"ANARCHY UNDERGROUND","65.27.8.81:2300","Cincinnati, OH, USA","C-Base"
"ANDROIDS DUNGEON","bbs.androidsdungeon.co.uk","Liverpool, , England","Mystic"
"ANDUIN BBS","bbs.anduin.net","Oslo, , Norway","Synchronet"
"ANIMATION GAME STATION (ANIMEYO)","54.238.90.108","Tokyo, , Japan","Custom"
"ANOTHER DROID BBS","andr01d.zapto.org:9999","Athens, , Greece","Mystic"
"ANOTHER F-ING BBS","anotherbbs.dynu.net:1337","Eloy, AZ, USA","Mystic"
"ANOTHER WILDCAT BBS","104.190.144.121:6400","Midland, MI, USA","Wildcat"
"ANSITEX","115.70.188.112","Parkdale, VIC, Australia","Synchronet"
"ANTI EARTH UNION GOVERNMENT (CHINESE)","125.229.104.182","Taipei, , Taiwan","MapleBBS"
"ANTIDOTE","antidote.triad.se:64128","Bjuv, , Sweden","C-Base"
"ANTIKITERA","technotron.asuscomm.com","Trekgorka, , Russia","Synchronet"
"ANYBOX BBS","anybox.freedyndns.de","Barmstedt, , Germany","Synchronet"
"ARCADIA BBS","bbs.arcadiabbs.com","Putnam, CT, USA","Mystic"
"ARCHAIC BINARY","bbs.archaicbinary.net","Orlando, FL, USA","Custom"
